Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier,also_in_80_main
"9,10-Epoxy-12Z-octadecenoic acid","9,10-环氧基-12Z-十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Medium-chain fatty acids,C14825,HMDB0004701,10.2635045,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2514,-0.0396,0.5424,4.2514,4.5362,0.090358,0.599649,0.227861,1.2105,0.693051,0.467671,0.8535,5,True,0.0058,True,0.9771,0.948247,False,True
Linoleoyl ethanolamide,亚油酸乙醇酰胺,Organonitrogen compounds,Amines,Organic nitrogen compounds,N-acylethanolamines,,HMDB0012252,10.8425755,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1275,-0.3416,0.0866,8.6514,8.5458,0.243222,0.682891,0.231226,-1.2017,0.693051,0.219623,0.801625,0,False,-0.1275,True,0.0,0.243222,True,True
Linoleic acid,亚油酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C01595,HMDB0000673,11.4158065,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.0887,-0.2266,0.0491,14.7323,14.6626,0.207079,0.682891,0.232876,-1.1975,0.693051,0.421912,0.832421,2,True,-0.0682,True,0.2315,0.325388,False,True
"15-Hydroxy-8Z,11Z,13E-eicosatrienoic acid","15-羟基-8Z,11Z,13E-二十碳三烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,,,10.176709,,165,-,False,↑(超重肥胖>正常),0.0973,-0.0657,0.2603,3.0803,3.1903,0.241818,0.682891,0.233993,1.1946,0.693051,0.199698,0.801625,0,False,0.0973,True,0.0,0.241818,True,True
Linoelaidic acid,反亚油酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,,HMDB0006270,11.4158065,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.0879,-0.2293,0.0535,14.6961,14.6275,0.223022,0.682891,0.243438,-1.1707,0.693051,0.439027,0.843393,1,True,-0.0787,True,0.1043,0.273416,False,True
"15-Hydroperoxy-5,8,11,14,17-eicosapentaenoic acid","15-过氧羟基-5,8,11,14,17-二十碳五烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroperoxyeicosapentaenoic acids,,,9.8071909,,165,-,False,↑(超重肥胖>正常),0.4908,-0.2764,1.2581,5.093,5.6761,0.209884,0.682891,0.289102,1.0636,0.693051,0.960605,0.960605,4,True,0.1552,True,0.6837,0.661052,False,True
"10-Hydroxy-4Z,7Z,11E,13Z,16Z,19Z-docosahexaenoic acid",10-羟基-4Z，7Z，11E，13Z，16Z，19Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060037,10.0619805,Membrane,165,-,False,↑(超重肥胖>正常),0.1244,-0.121,0.3697,3.053,3.1842,0.320556,0.692405,0.29507,1.0505,0.693051,0.299609,0.832421,0,False,0.1244,True,0.0,0.320556,True,True
Conjugated linoleic acids,共轭亚油酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C04056,HMDB0005048,11.419844,Extracellular,165,-,False,↓(超重肥胖<正常),-0.0796,-0.2226,0.0635,13.3949,13.3347,0.275728,0.692405,0.304815,-1.0294,0.693051,0.523173,0.869889,2,True,-0.0566,True,0.288,0.429944,False,True
Prostaglandin F2α,前列腺素F2α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C00639,HMDB0001139,7.66287335,"Cytoplasm,Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1603,-0.5192,0.1987,4.1574,3.976,0.381542,0.725396,0.313158,-1.0118,0.693051,0.604653,0.869889,2,True,-0.045,True,0.7192,0.658682,False,True
Anandamide,花生四烯酸乙醇胺,Organonitrogen compounds,Amines,Organic nitrogen compounds,N-acylethanolamines,C11695,HMDB0004080,10.8410015,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.137,-0.4249,0.1509,11.3463,11.2421,0.350982,0.692478,0.313922,-1.0102,0.693051,0.304752,0.832421,2,True,-0.1777,True,-0.2968,0.219701,False,True
