Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier
"12-Hydroxy-5Z,8Z,10E,14Z-eicosatetraenoic acid",12-羟基-5Z，8Z，10E，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C14777,HMDB0006111,10.079248,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2845,-0.0929,0.6618,9.7882,10.0275,0.139531,0.640719,0.133103,1.5096,0.668606,0.168345,0.704198,1,True,0.2461,True,0.135,0.194596,False
"13,14-Dihydro-15-keto-pgf2α",13，14-二氢-15-酮前列腺素 F2α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,HMDB0004685,7.78869495,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.284,-0.0618,0.6298,2.5339,2.8028,0.107482,0.640719,0.134048,1.5059,0.668606,0.190865,0.704198,3,True,0.181,True,0.3625,0.274348,False
Prostaglandin A2,前列腺素A2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05953,HMDB0002752,8.0775799,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2218,-0.033,0.4766,1.3233,1.5577,0.087961,0.640719,0.139368,1.4855,0.668606,0.199698,0.704198,3,True,0.1432,True,0.3543,0.225773,False
"11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid",11-羟基-4Z，6E，10Z，13Z，16Z，20Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060040,10.122853,Membrane,165,-,False,↑(超重肥胖>正常),0.2379,-0.1243,0.6001,4.8272,5.034,0.197963,0.640719,0.156657,1.423,0.668606,0.042852,0.704198,2,True,0.2943,True,-0.2369,0.031786,True
"16-Hydroxy-4Z,7Z,10Z,13Z,17E,19Z-docosahexaenoic acid",16-羟基-4Z，7Z，10Z，13Z，17E，19Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060047,10.02005785,Membrane,165,-,False,↑(超重肥胖>正常),0.1731,-0.0818,0.428,2.7476,2.9145,0.183169,0.640719,0.166921,1.3884,0.668606,0.179936,0.704198,1,True,0.1949,True,-0.1257,0.128484,False
"9,10-Epoxy-12Z-octadecenoic acid","9,10-环氧基-12Z-十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Medium-chain fatty acids,C14825,HMDB0004701,10.2635045,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.262,-0.013,0.537,4.2678,4.5541,0.061828,0.637769,0.169554,1.3798,0.668606,0.361309,0.794994,5,True,0.0299,True,0.8859,0.704517,False
"1α,1β-Dihomo prostaglandin E2","1α,1β-二高 前列腺素 E2",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,8.3089018,,165,-,False,↑(超重肥胖>正常),0.2495,-0.134,0.6331,-0.5318,-0.304,0.202264,0.640719,0.20031,1.2859,0.668606,0.135971,0.704198,1,True,0.2182,True,0.1256,0.255948,False
Prostaglandin D1,前列腺素D1,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C06438,HMDB0005102,7.5757617,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1923,-0.0642,0.4488,1.4965,1.6838,0.141807,0.640719,0.211827,1.2535,0.668606,0.396987,0.794994,3,True,0.0749,True,0.6107,0.505786,False
"8-Hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid",8-羟基-5Z，9E，11Z，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C14776,HMDB0004679,10.102641,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1153,-0.0532,0.2838,4.932,5.045,0.179705,0.640719,0.213522,1.2489,0.668606,0.242408,0.773397,1,True,0.1011,True,0.1234,0.233946,False
Linoleoyl ethanolamide,亚油酸乙醇酰胺,Organonitrogen compounds,Amines,Organic nitrogen compounds,N-acylethanolamines,,HMDB0012252,10.8425755,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1275,-0.3416,0.0866,8.6514,8.5458,0.243222,0.640719,0.231033,-1.2022,0.668606,0.219623,0.735738,0,False,-0.1275,True,0.0,0.243222,True
Linoleic acid,亚油酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C01595,HMDB0000673,11.4158065,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.0887,-0.2266,0.0491,14.7323,14.6626,0.207079,0.640719,0.233357,-1.1962,0.668606,0.421912,0.794994,2,True,-0.0682,True,0.2315,0.325388,False
"15-Hydroxy-8Z,11Z,13E-eicosatrienoic acid","15-羟基-8Z,11Z,13E-二十碳三烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,,,10.176709,,165,-,False,↑(超重肥胖>正常),0.0973,-0.0657,0.2603,3.0803,3.1903,0.241818,0.640719,0.234247,1.1939,0.668606,0.199698,0.704198,0,False,0.0973,True,0.0,0.241818,True
Linoelaidic acid,反亚油酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,,HMDB0006270,11.4158065,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.0879,-0.2293,0.0535,14.6961,14.6275,0.223022,0.640719,0.24389,-1.1696,0.668606,0.439027,0.794994,1,True,-0.0787,True,0.1043,0.273416,False
Prostaglandin E1,前列腺素E1,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04741,HMDB0001442,7.5900479375,"Cytoplasm,Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2172,-0.1292,0.5637,1.2986,1.5167,0.21913,0.640719,0.284707,1.0734,0.668606,0.771147,0.938212,4,True,0.0562,True,0.7411,0.721578,False
