Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier
"11,12-DiHydroxy-5Z,8Z,14Z-eicosatrienoic acid",11，12-双羟基-5Z，8Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14774,HMDB0002314,9.40329835,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0271,-0.1108,0.165,1.7924,1.8267,0.70036,0.814353,0.691447,0.3976,0.79874,0.260554,0.793504,0,False,0.0271,True,0.0,0.70036,True
"12,13 -DiHydroxy-9Z-octadecenoic acid","12,13 -二羟基-9Z-十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14829,HMDB0004705,9.0585925,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0272,-0.1767,0.1223,2.5621,2.5283,0.721297,0.8191,0.736394,-0.3372,0.836244,0.64348,0.87986,1,True,-0.0393,True,-0.4462,0.601948,False
"13-Hydroxy-9Z,11E-octadecadienoic acid","13-羟基-9Z,11E-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14762,HMDB0004667,9.8399408,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0184,-0.1349,0.0981,5.5535,5.5403,0.756593,0.844862,0.777805,-0.2827,0.867997,0.882199,0.938212,0,False,-0.0184,True,0.0,0.756593,True
"8,9-Dpoxy-5Z,11Z,14Z-eicosatrienoic acid",8，9-环氧-5Z，11Z，14Z-二十碳三烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14769,HMDB0002232,10.480243,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0238,-0.1751,0.2227,5.0326,5.076,0.81463,0.875667,0.813199,0.2367,0.867997,0.804932,0.938212,0,False,0.0238,True,0.0,0.81463,True
"19(20)-Epoxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid","19(20)-环氧基-4Z,7Z,10Z,13Z,16Z-二十二碳五烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,,HMDB0013620,10.2423915,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0345,-0.4477,0.3788,2.989,3.0097,0.870202,0.887023,0.828782,-0.2166,0.867997,0.169478,0.704198,2,True,0.0942,False,-1.7355,0.489396,False
"13-Oxo-9Z,11E-octadecadienoicacid","13-氧代-9Z,11E-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14765,HMDB0004668,9.72011485,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0547,-0.4646,0.574,4.9008,4.9582,0.836458,0.875667,0.832836,0.2114,0.867997,0.751633,0.938212,5,True,-0.0262,False,0.5214,0.893758,False
"13,14-Dihydro-15-keto Prostaglandin F1α","13,14-二氢-15-酮基-前列腺素F1α",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,8.13954986666667,,165,-,False,↑(超重肥胖>正常),0.0423,-0.3392,0.4239,0.7481,0.8481,0.827801,0.875667,0.836742,0.2064,0.867997,0.525557,0.858837,3,True,-0.0853,False,-1.0151,0.635103,False
Prostaglandin F1α,前列腺素F1α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C06475,HMDB0002685,7.6991891,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0279,-0.2083,0.2641,2.2884,2.3363,0.816797,0.875667,0.842087,0.1995,0.867997,0.859153,0.938212,2,True,-0.0244,False,0.1247,0.827524,False
"15-Deoxy-δ-12,14-prostaglandin D2","15-脱氧-delta-12,14-前列腺素D2",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,,,8.7682685,,165,-,False,↑(超重肥胖>正常),0.0469,-0.5322,0.626,3.0874,3.1335,0.873784,0.887023,0.866369,0.1685,0.879496,0.320531,0.794994,7,True,0.2495,True,-4.3161,0.117312,False
"15-Hydroxy-11Z,13E-eicosadienoic acid",15--羟基-11Z，13E-二十碳二烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Other hydroxyeicosapolyenoic acids,,,10.4589045,,165,-,False,↓(超重肥胖<正常),-0.0015,-0.3028,0.2998,3.4389,3.4267,0.992196,0.992196,0.991462,-0.0107,0.991462,0.960605,0.97516,3,True,0.026,False,-16.3176,0.754892,False
