Sample,Label,HMDB0012252,HMDB0004080,HMDB0001388,HMDB0001043,HMDB0006270,HMDB0000673,HMDB0005048,HMDB0010202,HMDB0004670,HMDB0004667,HMDB0004669,HMDB0003252,HMDB0004668,HMDB0004701,HMDB0004704,HMDB0004705,HMDB0004702,HMDB0062434,HMDB0003871,HMDB0004680,HMDB0060041,HMDB0002752,HMDB0001403,HMDB0001220,HMDB0001139,HMDB0002710,HMDB0004238,HMDB0004240,HMDB0002776,HMDB0002232,HMDB0004673,HMDB0002311,HMDB0002314,HMDB0002265,HMDB0006245,HMDB0002200,HMDB0003876,HMDB0004679,HMDB0006111,HMDB0001320,HMDB0244516,HMDB0002685,HMDB0005102,HMDB0060052,HMDB0062747,HMDB0013620,HMDB0010214,HMDB0060044,HMDB0060051,HMDB0060037,HMDB0060040,HMDB0060043,HMDB0060050,HMDB0004685,HMDB0060048,HMDB0060047,HMDB0002122,HMDB0005099,HMDB0012535,HMDB0003175,HMDB0002343,HMDB0001442,HMDB0001085
A19-137,Normal,9.387963743554474,12.22699175834633,6.544890525251357,15.58087510953536,15.39288855559651,15.3969462260126,14.02387433172942,2.870378307042239,5.738047241912822,5.192142665505824,5.247886302299812,5.832863124165226,5.287380503176457,5.34033747589096,1.877563857218847,2.865286140249687,5.901596239988587,5.400109729923536,7.239244066338223,1.554138054887719,0.6102087280138995,-3.286382560127889,1.800168509615326,1.094467262460321,3.92945383105084,-3.802898154455133,-1.894685455916052,2.791059346597614,1.683321950194569,5.824489604655702,5.589305919405559,3.372702146032118,2.058835527152278,3.12634550056577,2.498575625940596,-2.843553341780614,5.531219054604782,5.25444717534149,7.278668872956827,1.771798141707416,1.151661765742727,1.782291445921366,-1.00545342483933,3.649009379616439,5.167851953297097,4.183307782612406,1.883168087607754,5.328846753101819,4.288197821904776,3.317541945371017,4.218356957613177,3.434477824426473,3.290779239699861,3.619517891541983,4.510187098095649,2.832572010009521,4.535672962893881,-4.776598335406112,4.02344726885261,-1.744175007261427,2.554209025434489,-0.6405005839183122,2.298138444110458
A19-139,Normal,9.22062283971614,11.9012301720542,3.597952287165843,15.5335904655526,15.36987189448974,15.37698230575338,13.97760666541102,5.623738613201207,6.06084992004853,4.988616214779874,4.891592207677532,7.584675729886946,5.10522686443607,5.075980637325253,1.694019990719491,3.122534834841058,5.109306280849359,5.492644091591677,7.635433858453879,1.377962781558109,3.119006312196134,1.984168275903134,4.079140028035957,3.093768229828409,4.508217843437622,2.505909751456668,2.995504974561613,3.39569395082494,2.789521248112235,5.228352473059995,5.010801702468353,3.399044047204644,2.049183901054819,2.849340350575916,2.410062991959736,6.425813770577308,5.411277388414454,4.059970402864553,10.16563268121221,2.763327393113276,1.657720331798867,2.592893209315436,1.411945249201505,3.193561186126248,5.711555926849493,3.513562859502319,2.410502351999196,7.377868216682562,-0.8043648180570735,3.203685684964871,5.630786167669484,3.90307497378927,2.672005685677139,1.903414623068726,5.654389553758562,3.47001882673649,3.85135655350699,3.924134078324658,5.531088217604352,2.453186629310856,2.189846423329517,1.33122534726921,0.2657371952870138
A19-165,Normal,9.644881283485368,12.28346647791567,7.441246718792369,15.40592936948062,15.28282141578295,15.3216656581727,13.89850253061364,3.942537489629825,6.310713940586078,5.419872721749564,4.868311310160757,6.935013182491045,5.285838686574619,5.099942737725772,2.019065035072133,2.555875569527729,5.459872512336791,5.15266963242093,6.549660518905992,1.504338882401197,2.762875710821663,1.158137007085713,3.958421528221091,3.085792910258821,4.805880601463761,1.972068894188643,1.936067208968378,3.573362042926625,2.217854395927621,5.317338318744628,5.136125795951314,3.249118949695341,2.22278021299078,3.038033949942779,1.665276607657462,7.132808300900679,5.793454719709249,5.209791014505153,8.638583203300628,2.171321804839497,1.379926355266653,2.868177087022526,1.159279330495963,3.45727592630345,4.696467547674916,3.447336177924643,1.682045992547006,6.119029394881114,4.272446700441928,3.255545630980649,4.44966183697256,3.570497506995267,3.244030261761685,2.888103752609291,4.765336992003365,3.167099416507638,3.909470959948368,2.520502046535118,3.821040171609527,2.089085789803471,-0.3149682064602006,1.514596013844944,-0.5084166767125013
A19-181,Normal,9.441455063416509,11.77377982483485,3.747351491544475,15.57806026216674,15.39785655551172,15.4414075210791,14.08579395338699,3.915095294503669,5.909802656986352,4.964473011083832,4.841664185548648,6.740178272694231,5.125450310194042,5.210846348952734,1.658106275088426,2.594031876182908,5.315073425284123,5.399982727477104,7.558439179856719,1.616760737364684,2.761006892707231,1.228359903292931,3.916158658860525,2.736825269642401,3.923295890246901,1.48886618666187,1.980820131564065,3.090518679041423,2.038155637990545,5.122766307108602,5.053337093030811,2.75808821230232,1.381584636471521,2.314977793632126,2.481167403348924,-1.278045154316189,4.879033312169156,4.054489630250809,8.679672721541712,2.156282368528759,1.42024975606145,2.680205359841498,0.9480832626163433,2.762303645099114,4.467047409578187,3.708998183176022,2.280983151878898,6.19927266152587,-2.152918839726973,2.808288045435188,4.178305251430595,3.555933675061519,2.907289875129903,2.665497958027269,4.259331803520787,2.518522009160294,3.015043620502452,2.236621544781693,4.444576477948247,2.258080291493291,2.100435715340563,1.162704249318677,-1.011900065948367
A19-191,Normal,8.544827128477388,11.49123331617635,6.330499928680528,15.00671206307736,14.67402693773799,14.72024015671372,13.42310700644895,4.658067122996716,5.532050327305071,5.010112179970881,4.411698369744634,6.690662521260606,5.079985097799853,4.117301561599279,1.109658193327607,2.509019112020936,4.646709615249444,5.03727435320242,5.654392564914909,1.329079656616112,3.120894970163171,1.581898878067589,4.225423571010396,3.123792686648817,4.163565205893155,2.304598880131451,2.290350157885178,3.570014220281073,2.317947748163239,4.941133299723433,4.887947577707987,3.252549074719484,1.835795728942233,2.766759351262062,1.470525037209031,0.4402461775031887,5.817356465620241,5.300226703201939,9.397002653151471,2.34197835286921,-0.7471983413605607,1.698220643305947,1.171692471384678,3.253327994429311,4.866892095479038,3.283677977109771,1.476979586236464,6.666757584133257,4.239689698445397,3.732072605985723,4.76350420844745,3.986306898623137,3.140967914911676,2.380592262576968,5.14722919050936,3.336548596651688,4.112285910264886,3.012479902233742,4.783595101805767,2.549218491825929,2.111156165716427,1.034427548600381,-1.496703627949943
A19-229,Normal,8.715414708770245,11.90182812856058,7.356188695496099,15.33235548579887,15.15020808414928,15.18218564259338,13.72232801164207,3.232252273672373,6.297189533709382,5.022651362321461,4.971680798274178,7.527976267072276,5.369033344209114,5.003481228032042,1.370483230824554,2.700189193726882,5.310904135415708,5.532923135171334,7.430917363730834,1.24600187704204,3.906367857066534,2.796698610191419,4.94723271139201,4.089490064366742,5.120613993568286,3.701624639607189,3.418229615777984,4.603400179242748,3.588427690112008,5.123551271255509,4.973059500200557,3.1577423903366,2.09039104142787,3.033099179905415,2.446093770121167,-0.8921457658954615,5.778104428428753,4.748117036668796,9.109419193368545,3.596617174057005,2.290123175762533,2.656020425973735,1.669864650651172,2.747092702095752,5.162016186804986,3.320357609339826,1.857829444401894,6.053379837272534,0.07607821679632121,2.787732901378597,4.095383696357673,3.76479750589341,2.333488537949731,3.9164294176404,4.634911336792479,2.841192564982435,3.946969932648666,0.7081604403982658,5.022218250308562,2.956584802797265,2.562840584410574,1.817802122278168,2.33414187781713
A19-230,Normal,9.450819876679214,12.45317414800722,6.809350666001974,14.86704214772292,14.63317569278295,14.69305266240283,13.29512379529264,3.316195635082674,5.782208161548732,4.954651881725597,4.971855098833887,6.142361442249535,-0.7021557572206198,4.945926850277797,1.487374349921924,2.676982449284974,5.249268829620091,5.654123980410448,7.607633714989772,1.892606669430932,2.526193068991936,1.115217258403229,3.518216378089293,2.813203311338013,3.402815520243436,1.614364942522701,1.43067822701799,2.940214529247352,2.363040999882652,5.543893440600175,5.429286895470774,2.727720789551713,1.957545565677629,2.824960421512913,2.111728142524506,-1.51345333510438,5.225422238388935,4.97837221452728,8.179213291517543,2.445772759498825,1.224822157925479,2.037823396368177,0.4506753744866927,3.090927225293417,4.538893879510534,2.909450298629831,1.688639372402462,4.83246960455356,3.577319356446604,2.208124174091356,3.57260956724212,2.15998870637894,2.579808725798546,3.21398413384711,3.464362535405444,1.869093734706982,4.419950954838448,2.153899939736773,4.34175918895187,2.280339368000594,-6.881542722502794,0.493635233725498,-1.158127175042112
A19-237,Normal,9.799438817202752,12.52529291540717,7.023871686009928,14.90925511836286,14.76517529130851,14.80286582717178,13.3426841884773,4.737422222145659,6.308329345064391,5.293576303352192,4.390606228146156,6.921496111128459,4.383861000254525,4.916515065270614,2.173242014392167,3.535069403861648,5.733806436365809,6.769209474556773,7.194631432895075,1.648841007901969,3.09233993909001,1.450632667634725,3.966014598027821,3.263817757228643,3.996701161001434,1.819282467243019,1.96453041482642,2.919935452766707,2.848669900807258,5.18220005841487,4.959910274651539,3.232119449187662,2.370800545765598,3.521471008910892,2.034165966355328,4.980381776764019,5.229946156076906,4.775147841069739,9.700869997850623,2.94902098175892,1.530727534925311,1.96247540452698,0.9414611501959127,2.5324765411999,5.155099534008621,3.246369044896285,2.399908327369096,6.621541474733447,-0.9201890516223428,3.019499690806034,4.725795850685662,3.6548538698227,2.532851911464527,3.323676773845657,4.72753605026862,2.506089406554379,3.7664145358292,3.008529340150638,5.58002695707256,2.251488669238658,1.935620539851285,0.8902255424778436,-5.047545099039084
A19-247,Normal,10.23714836401737,13.28223275204742,7.013249709198133,15.37232382583186,15.2058973040516,15.22099409474257,13.84493298400908,4.446247335692873,5.903977286871285,5.10932633425016,5.194799084111585,7.656349985734319,5.357957790209717,4.499564769242052,2.194971663055049,2.716159307343111,4.908488970230471,5.447400856797481,6.978363240993428,1.310429428097264,3.043792456970293,1.488167321447575,3.892198034006297,3.136743148129435,4.367698843145388,2.058996091400724,2.571486829975226,4.350587592146102,3.60293156228593,5.45078762011801,5.327401072949275,2.650630964241838,1.893548024702341,2.743634118537435,1.75635512995156,0.3997599507699263,5.178236069536529,4.557398602045995,9.715803008787029,3.453994600735862,1.888545013623315,2.148713745307043,1.078400383021369,2.206372850333493,4.874389579078409,3.159890611785902,2.434723994839468,6.796777068932705,-1.353850944014108,3.24193107293489,5.062814550078238,3.5449227421818,2.889611298682162,3.533623594591988,5.318333237146716,3.072337528989929,3.73131343443371,3.174205543411167,5.594525624710949,2.86221178733773,2.072946680869541,0.847127243134748,2.8912654984333
B20-023,Normal,7.617640094849047,10.43891172217077,6.282374055310231,15.20747236643988,14.80998165811873,14.85041026166833,13.59644958079381,3.213344385366002,6.095858930511598,5.271325043013763,4.220952659200455,6.968777101990131,3.657341333113037,4.294477614669021,1.918228643709911,2.423675714517543,4.999837358127672,-1.557261498463704,3.852584918831293,1.431568788085993,3.658052442233649,1.264473790105953,5.008509640381142,3.504119656014749,4.058044175552213,1.977058874066715,2.314135196655197,3.075120594937566,3.820196158114758,4.924839185937075,4.606879600334697,2.765507380720133,1.792703907722545,2.243328401528891,1.621736554514288,8.396732758620345,5.496588805915497,5.091052079955424,8.023631380101307,3.857485483700561,3.092244939841246,2.591340635225517,1.888127031017863,3.545104178811885,4.296318746037982,2.572339426606177,1.404109873273942,4.677999107149942,3.2114468247883,2.664117494647083,3.993791069771372,3.126611042533922,2.615113553370686,3.697305202625997,3.974505202114182,2.181759168981686,4.35027592235979,0.3076531677724645,5.688691226075805,3.194605205047195,2.013241981021203,0.3435592984797242,3.148028365270632
